iter	Passed	Remaining
0	142	141958
1	146	73020
2	158	52617
3	170	42518
4	175	34979
5	183	30388
6	189	26888
7	194	24059
8	197	21765
9	202	20028
10	205	18433
11	211	17372
12	215	16353
13	217	15338
14	221	14573
15	224	13827
16	227	13167
17	231	12611
18	237	12238
19	240	11776
20	242	11305
21	245	10899
22	247	10512
23	250	10183
24	254	9908
25	256	9600
26	259	9351
27	262	9107
28	267	8952
29	269	8724
30	272	8508
31	274	8300
32	276	8100
33	279	7934
34	281	7769
35	283	7596
36	285	7426
37	287	7266
38	289	7129
39	291	7003
40	293	6871
41	295	6739
42	298	6635
43	301	6540
44	304	6458
45	306	6346
46	307	6238
47	310	6151
48	311	6047
49	313	5952
50	314	5855
51	316	5766
52	317	5681
53	319	5594
54	320	5514
55	322	5443
56	324	5373
57	326	5298
58	327	5226
59	329	5159
60	330	5092
61	332	5026
62	333	4962
63	335	4907
64	337	4859
65	339	4802
66	340	4748
67	342	4692
68	343	4639
69	345	4588
70	346	4538
71	348	4490
72	349	4444
73	352	4405
74	353	4363
75	355	4317
76	356	4273
77	358	4232
78	359	4190
79	360	4150
80	362	4111
81	364	4077
82	366	4047
83	368	4013
84	369	3977
85	370	3942
86	372	3908
87	374	3876
88	380	3898
89	383	3873
90	384	3840
91	386	3809
92	387	3780
93	389	3752
94	391	3726
95	392	3700
96	394	3674
97	396	3647
98	398	3624
99	400	3600
100	401	3573
101	403	3548
102	404	3522
103	406	3498
104	407	3475
105	409	3454
106	411	3431
107	413	3412
108	414	3391
109	417	3375
110	419	3359
111	420	3336
112	422	3316
113	425	3306
114	426	3284
115	428	3263
116	429	3241
117	431	3223
118	432	3203
119	434	3183
120	435	3164
121	437	3149
122	439	3134
123	441	3116
124	442	3098
125	444	3080
126	445	3063
127	446	3042
128	447	3024
129	450	3013
130	452	3004
131	455	2992
132	457	2981
133	459	2970
134	461	2958
135	464	2949
136	467	2942
137	469	2933
138	472	2925
139	474	2914
140	476	2905
141	479	2896
142	482	2891
143	484	2881
