iter	RMSE
0	9.194350089
1	9.021608517
2	8.837539876
3	8.656188493
4	8.503843294
5	8.340315244
6	8.184984036
7	8.024417734
8	7.886239449
9	7.75343831
10	7.610933243
11	7.478538002
12	7.32686958
13	7.195590793
14	7.078019575
15	6.951024921
16	6.825648227
17	6.705010627
18	6.581903875
19	6.474032054
20	6.364370335
21	6.263715424
22	6.160222664
23	6.060155522
24	5.96767739
25	5.86769114
26	5.774898866
27	5.680401378
28	5.576270855
29	5.500669518
30	5.420923737
31	5.343638878
32	5.263937786
33	5.192047739
34	5.120218039
35	5.047130756
36	4.973161093
37	4.915490544
38	4.846466664
39	4.783759376
40	4.716988764
41	4.648780454
42	4.590908648
43	4.538658343
44	4.485827767
45	4.441536084
46	4.395208758
47	4.343023226
48	4.294716093
49	4.243763647
50	4.20679372
51	4.163506704
52	4.119873984
53	4.07284187
54	4.03356402
55	3.990792799
56	3.942506671
57	3.895966885
58	3.852637704
59	3.814940918
60	3.78110389
61	3.747933352
62	3.717191136
63	3.6863737
64	3.64832608
65	3.61895551
66	3.581056957
67	3.551316725
68	3.519092235
69	3.485247944
70	3.449149955
71	3.418649297
72	3.389126134
73	3.362159165
74	3.340729131
75	3.320917952
76	3.298434582
77	3.275782799
78	3.255952486
79	3.228826713
80	3.206516019
81	3.184201556
82	3.16345166
83	3.141561467
84	3.123406631
85	3.102354873
86	3.087758735
87	3.066366185
88	3.041912728
89	3.023835294
90	3.009083851
91	2.996812381
92	2.980090729
93	2.960829488
94	2.947086238
95	2.929008936
96	2.912339447
97	2.898662376
98	2.883899789
99	2.866058592
100	2.85142382
101	2.835789675
102	2.821650253
103	2.801377432
104	2.78521712
105	2.774372454
106	2.760623211
107	2.751576183
108	2.736235549
109	2.718021575
110	2.70675264
111	2.699168372
112	2.687661215
113	2.678977114
114	2.665075571
115	2.654544337
116	2.639912353
117	2.626869633
118	2.613042361
119	2.609540071
120	2.603347634
121	2.596550839
122	2.58624168
123	2.575585644
124	2.568702408
125	2.556784213
126	2.549429321
127	2.537391604
128	2.528674711
129	2.514920989
130	2.506838178
131	2.501820329
132	2.492577403
133	2.48281144
134	2.474195943
135	2.467501185
136	2.459882335
137	2.451943025
138	2.44629486
139	2.440163945
140	2.437004544
141	2.423402253
142	2.416967679
143	2.409886996
144	2.400318775
145	2.392027787
146	2.383815017
147	2.377608567
148	2.369817548
149	2.362193247
150	2.355851425
151	2.346660759
152	2.340325135
153	2.33110534
154	2.324624722
155	2.321302777
156	2.313257052
157	2.306963472
158	2.29857686
159	2.291916105
160	2.286590712
161	2.278315675
162	2.269624378
163	2.260650713
164	2.251222259
165	2.246283749
166	2.239416723
167	2.234825315
168	2.230853277
169	2.227021827
170	2.220081614
171	2.213990808
172	2.208540829
173	2.203516741
174	2.198070796
175	2.191045605
176	2.18516057
177	2.180476775
178	2.173529053
179	2.167471613
180	2.164691148
181	2.162253203
182	2.154469452
183	2.15161157
184	2.144580117
185	2.136222495
186	2.131231266
187	2.12810339
188	2.12173234
189	2.114578366
190	2.105596535
191	2.102291837
192	2.096333601
193	2.088280255
194	2.082414359
195	2.076723133
196	2.073328219
197	2.065622106
198	2.059435845
199	2.05706688
200	2.050492736
201	2.044883371
202	2.042840047
203	2.040416891
204	2.034354424
205	2.027567759
206	2.021125913
207	2.016214623
208	2.009536965
209	2.007971392
210	2.004783067
211	2.000498353
212	1.994876198
213	1.990592192
214	1.984008415
215	1.977578795
216	1.976081743
217	1.972069218
218	1.970006444
219	1.963709026
220	1.95591471
221	1.948822712
222	1.944038758
223	1.942276254
224	1.936709301
225	1.934663394
226	1.933412277
227	1.926555476
228	1.922567912
229	1.920197498
230	1.91438484
231	1.912607629
232	1.910370136
233	1.904435373
234	1.899027873
235	1.89287396
236	1.887691585
237	1.881106898
238	1.878206387
239	1.875735479
240	1.870220897
241	1.868901323
242	1.867580141
243	1.866257496
244	1.860969593
245	1.859673074
246	1.858158863
247	1.856906437
248	1.855034378
249	1.848447461
250	1.841025487
251	1.835425671
252	1.834195994
253	1.830535942
254	1.822582747
255	1.815730468
256	1.809364583
257	1.803279933
258	1.801085836
259	1.796128277
260	1.794638728
261	1.789206163
262	1.784088965
263	1.777436185
264	1.774509986
265	1.773200762
266	1.767465505
267	1.766115452
268	1.761415925
269	1.759156481
270	1.758132872
271	1.752505221
272	1.74405163
273	1.742283201
274	1.741085011
275	1.735800636
276	1.728689562
277	1.724533585
278	1.723491955
279	1.718714088
280	1.717766382
281	1.711951903
282	1.705305355
283	1.699524614
284	1.695025277
285	1.691676336
286	1.688114604
287	1.684029798
288	1.6832925
289	1.679351214
290	1.675171416
291	1.66843399
292	1.663715895
293	1.659540242
294	1.654658722
295	1.651362531
296	1.646373638
297	1.643464029
298	1.638220471
299	1.635438171
300	1.633355951
301	1.632520649
302	1.631655018
303	1.627637063
304	1.625651932
305	1.622461536
306	1.620068634
307	1.616117684
308	1.612351425
309	1.61150538
310	1.609054569
311	1.604331822
312	1.601052816
313	1.596640651
314	1.592569374
315	1.59000163
316	1.587475124
317	1.582864543
318	1.579617826
319	1.576383887
320	1.572977054
321	1.568078017
322	1.567072079
323	1.566037646
324	1.565206119
325	1.562203401
326	1.560937552
327	1.559165873
328	1.554856017
329	1.55181631
330	1.550988408
331	1.54660272
332	1.545936417
333	1.545216218
334	1.540165716
335	1.539272583
336	1.534327166
337	1.53349743
338	1.52897095
339	1.524417401
340	1.523715598
341	1.520856403
342	1.519886122
343	1.516032984
344	1.515376278
345	1.511494861
346	1.509653356
347	1.505877987
348	1.502170364
349	1.497221419
350	1.495518491
351	1.494880966
352	1.491428358
353	1.489424579
354	1.488286036
355	1.484635143
356	1.483193581
357	1.482026592
358	1.478620714
359	1.474823351
360	1.471611852
361	1.470941991
362	1.468728716
363	1.46759891
364	1.466879163
365	1.463531035
366	1.462066227
367	1.461529457
368	1.459868242
369	1.456159529
370	1.45447873
371	1.449682318
372	1.448853798
373	1.445848248
374	1.44276397
375	1.439452212
376	1.43857759
377	1.438086021
378	1.435459102
379	1.432800449
380	1.432198993
381	1.427438208
382	1.423547215
383	1.420170339
384	1.418896214
385	1.418180484
386	1.414724672
387	1.414255582
388	1.413530748
389	1.410331793
390	1.40576905
391	1.403634273
392	1.401559686
393	1.398359235
394	1.397666242
395	1.394542292
396	1.392654851
397	1.390805785
398	1.390029783
399	1.386174447
400	1.385492924
401	1.38267404
402	1.382011453
403	1.381109891
404	1.380268878
405	1.376044731
406	1.375322605
407	1.371544315
408	1.367708111
409	1.36478248
410	1.361527178
411	1.360594026
412	1.358539929
413	1.356670927
414	1.354810021
415	1.350858393
416	1.34830915
417	1.342888771
418	1.342189427
419	1.341288158
420	1.339804299
421	1.334928238
422	1.331369175
423	1.330489889
424	1.328431899
425	1.325284557
426	1.324802161
427	1.321669783
428	1.319938041
429	1.317529608
430	1.314580968
431	1.313980259
432	1.313378521
433	1.312961045
434	1.308011831
435	1.307506046
436	1.306978614
437	1.303523415
438	1.300225802
439	1.299824196
440	1.298066577
441	1.295144214
442	1.294585145
443	1.292427895
444	1.290345527
445	1.288292463
446	1.28682962
447	1.286438156
448	1.285396385
449	1.28442796
450	1.281035803
451	1.277356185
452	1.276869236
453	1.273286801
454	1.269845082
455	1.265968847
456	1.262935102
457	1.260716314
